,Дата,"Питание
 утро","Питание
 вечер 2ч до сна","Питание
 перед сном за 30 мин"
,21.сен,Льняное 15 мл,Тыквенное 10 мл,—
,22.сен,Льняное 15 мл,Тыквенное 10 мл,—
,23.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,24.сен,Льняное 15 мл,Тыквенное 10 мл,—
,25.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,26.сен,Льняное 15 мл,Тыквенное 10 мл,—
,27.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,28.сен,Льняное 15 мл,Тыквенное 10 мл,—
,29.сен,Один раз в день: тмин / кедровое / льняное,,
,30.сен,Один раз в день: тмин / кедровое / льняное,,
,01.окт,Один раз в день: тмин / кедровое / льняное,,
,02.окт,Один раз в день: тмин / кедровое / льняное,,
,03.окт,Один раз в день: тмин / кедровое / льняное,,
,04.окт,Один раз в день: тмин / кедровое / льняное,,
,05.окт,Один раз в день: тмин / кедровое / льняное,,
,06.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,07.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,08.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,09.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,10.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,11.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,12.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,13.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,14.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,15.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,16.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,17.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,18.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,19.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,20.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,21.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,22.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,23.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,24.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
,25.окт,Оливковое 15 мл,Льняное 8 мл,Чёрный тмин 5 мл
,26.окт,Льняное 15 мл,Тыквенное 10 мл,Кедровое 5 мл
